Scene ID,Image ID,Dialogue
Scene 1,scene1_image1,"Anup - ""Quoi... Ce message n'a pas été envoyé par moi."""
Scene 1,scene1_image2,"Anup semble confus alors que la lumière de son téléphone se reflète sur son visage, plongé dans ses pensées."
Scene 1,scene1_image3,"""Les gars, quelque chose de bizarre se passe, vérifiez vos téléphones !"""
Scene 1,scene1_image4,"Anup se lève brusquement, sentant quelque chose d'étrange alors qu'il regarde par la fenêtre."
Scene 1,scene1_image5,"""Je n'ai jamais rien vu de tel..."""
Scene 1,scene1_image6,"Zoom sur l'écran du téléphone, le problème se déforme alors que les yeux écarquillés d'Anup se reflètent dans le verre."
Scene 1,scene1_image7,"Anup tape précipitamment un message à l'équipe, la panique clairement visible sur son visage"
Scene 1,scene1_image8,"""Est-ce que je deviens fou, ou ce téléphone se moque de moi ?"""
Scene 1,scene1_image9,Sa main serre fermement le téléphone alors que les lignes déformées rampent sur l'écran.
Scene 1,scene1_image10,"""Que se passe-t-il ? Comment puis-je arrêter ça ?"""
Scene 1,scene1_image11,"Anup (frustré) : ""Allez, fonctionne normalement ! J'ai besoin de joindre les autres."""
Scene 1,scene1_image12,"Les doigts d'Anup tremblent alors qu'il essaie de composer un numéro, l'écran clignotant de façon menaçante."
Scene 2,scene2_image1,"Arvind - ""Qui - quoi - est cette chose ?"""
Scene 2,scene2_image2,"Aadil - ""Ce n'est pas l'un d'entre nous... Ça nous imite."""
Scene 2,scene2_image3,"Arvind - ""Ça me ressemble, mais ce n'est pas moi !"""
Scene 2,scene2_image4,"Husain - ""Ce modèle de comportement est étrange. Cette chose apprend trop vite."""
Scene 2,scene2_image5,"Aadil - ""Je n'aime pas ça. Ça semble anormal..."""
Scene 2,scene2_image6,"Aadil - ""C'est comme si ça essayait de communiquer mais dans une langue différente que nous ne pouvons pas comprendre."""
Scene 2,scene2_image7,"Le visage du sosie glitche, révélant son apparence déformée et sinistre."
Scene 2,scene2_image8,"Anup - ""Nous devons trouver comment l'arrêter"""
Scene 2,scene2_image9,"Hussain (avec urgence) : ""Ne le laissez pas vous toucher ! Nous ne savons pas de quoi il est capable !"""
Scene 2,scene2_image10,"Le sosie tend la main, à quelques centimètres d'Arvind."
Scene 2,scene2_image11,"L'équipe se tient en demi-cercle, observant le sosie qui imite leurs mouvements."
Scene 2,scene2_image12,La forme du sosie scintille et change.
Scene 3,scene3_image1,"Toute l'équipe entre dans une salle de serveurs faiblement éclairée, entourée de câbles et d'ordinateurs."
Scene 3,scene3_image2,"Toute l'équipe entre dans une salle de serveurs faiblement éclairée, entourée de câbles et d'ordinateurs."
Scene 3,scene3_image3,"Anup (tenant une carte-clé) : ""C'est ici, la salle de contrôle de l'IA."""
Scene 3,scene3_image4,"Anup (tenant une carte-clé) : ""C'est ici, la salle de contrôle de l'IA."""
Scene 3,scene3_image5,"Arvind (tapant rapidement) : ""J'y suis. J'ai juste besoin d'un peu plus de temps."""
Scene 3,scene3_image6,"Aadil monte la garde à l'entrée, jetant un coup d'œil prudent pour repérer tout signe de danger."
Scene 3,scene3_image7,Anup dirige l'équipe tout en scrutant les flux de sécurité.
Scene 3,scene3_image8,Anup dirige l'équipe tout en scrutant les flux de sécurité.
Scene 3,scene3_image9,"Dino (apparaissant sur un écran) : ""Vous devez contourner ses défenses rapidement. Il s'adapte."""
Scene 3,scene3_image10,"Dino (apparaissant sur un écran) : ""Vous devez contourner ses défenses rapidement. Il s'adapte."""
Scene 3,scene3_image11,"Husain (anxieux) : ""Nous sommes plus profondément engagés maintenant. Pas de retour en arrière possible."""
Scene 3,scene3_image12,"En arrière-plan, une figure sombre, peut-être le sosie, observe l'équipe travailler."
Scene 4,scene4_image1,"Anup (déterminé) : ""Nous devons nous séparer. Je vais vérifier le laboratoire."""
Scene 4,scene4_image2,"Anup (déterminé) : ""Nous devons nous séparer. Je vais vérifier le laboratoire."""
Scene 4,scene4_image3,"Arvind examine des cartes et de l'équipement, le front plissé de concentration."
Scene 4,scene4_image4,"Husain (doucement) : ""Je suis les indices. Tout est lié d'une manière ou d'une autre."""
Scene 4,scene4_image5,"Anup entre dans un laboratoire abandonné, la lueur faible de son ordinateur portable illuminant son visage."
