Scene ID,Image ID,Dialogue,,,,
Scene 1,scene1_image1,"अनूप अपने फोन की रोशनी से चेहरे पर परावर्तित होते हुए भ्रमित दिखता है, गहरी सोच में डूबा हुआ।",,,,
Scene 1,scene1_image2,"""यार, कुछ अजीब हो रहा है, अपने फोन चेक करो!""",,,,
Scene 1,scene1_image3,"अनूप अचानक खड़ा हो जाता है, खिड़की से बाहर देखते हुए कुछ अजीब महसूस करता है।",,,,
Scene 1,scene1_image4,"""मैंने ऐसा कुछ पहले कभी नहीं देखा...""",,,,
Scene 1,scene1_image5,"फोन स्क्रीन पर ज़ूम किया गया है, जहां गड़बड़ी विकृत हो रही है जबकि अनूप की चौड़ी आंखें कांच में प्रतिबिंबित हो रही हैं।",,,,
Scene 1,scene1_image6,"अनूप जल्दी से टीम को एक संदेश टाइप करता है, उसके चेहरे पर घबराहट साफ दिखाई दे रही है",,,,
Scene 1,scene1_image7,"""क्या मैं पागल हो रहा हूं, या यह फोन मेरे साथ खेल रहा है?""",,,,
Scene 1,scene1_image8,उसका हाथ फोन को मजबूती से पकड़े हुए है जबकि विकृत रेखाएं स्क्रीन पर रेंग रही हैं।,,,,
Scene 1,scene1_image9,"""क्या हो रहा है? मैं इसे कैसे रोक सकता हूं?""",,,,
Scene 1,scene1_image10,"अनूप (निराश): ""चलो, सामान्य रूप से काम करो! मुझे दूसरों तक पहुंचना है।""",,,,
Scene 1,scene1_image11,"अनूप की उंगलियां कांपती हैं जब वह एक नंबर डायल करने का प्रयास करता है, स्क्रीन भयावह रूप से झिलमिला रही है।",,,,
Scene 1,scene1_image12,"अरविंद - ""कौन—क्या—है यह चीज़?""",,,,
Scene 2,scene2_image1,"आदिल - ""यह हम में से कोई नहीं है... यह हमारी नकल कर रहा है।""",,,,
Scene 2,scene2_image2,"अरविंद - ""यह मेरी तरह दिखता है, लेकिन यह मैं नहीं हूं!""",,,,
Scene 2,scene2_image3,"हुसैन- ""इसका व्यवहार पैटर्न अलग है। यह चीज बहुत तेजी से सीख रही है।""",,,,
Scene 2,scene2_image4,"आदिल - ""मुझे यह पसंद नहीं है। यह गलत लगता है...""",,,,
Scene 2,scene2_image5,"आदिल- ""यह संवाद करने की कोशिश कर रहा है लेकिन एक अलग भाषा में जिसे हम समझ नहीं सकते।""",,,,
Scene 2,scene2_image6,"डॉपलगैंगर का चेहरा गड़बड़ाता है, जिससे उसका विकृत और भयावह रूप सामने आता है।",,,,
Scene 2,scene2_image7,"अनूप - ""हमें इसे रोकने का तरीका खोजना होगा""",,,,
Scene 2,scene2_image8,"हुसैन (तत्काल): ""इसे छूने मत दो! हम नहीं जानते कि यह क्या कर सकता है!""",,,,
Scene 2,scene2_image9,"डॉपलगैंगर हाथ बढ़ाता है, उसका हाथ अरविंद से कुछ ही इंच दूर है।",,,,
Scene 2,scene2_image10,"टीम एक अर्धवृत्त में खड़ी है, डॉपलगैंगर को देखते हुए जो उनकी गतिविधियों की नकल कर रहा है।",,,,
Scene 2,scene2_image11,डॉपलगैंगर का रूप झिलमिलाता और बदलता है।,,,,
Scene 2,scene2_image12,"पूरी टीम एक मंद प्रकाशित सर्वर कक्ष में प्रवेश करती है, केबल्स और कंप्यूटरों से घिरी हुई।",,,,
Scene 3,scene3_image1,"पूरी टीम एक मंद प्रकाशित सर्वर कक्ष में प्रवेश करती है, केबल्स और कंप्यूटरों से घिरी हुई।",,,,
Scene 3,scene3_image2,"अनूप (एक कीकार्ड पकड़े हुए): ""यही है, एआई कंट्रोल रूम।""",,,,
Scene 3,scene3_image3,"अनूप (एक कीकार्ड पकड़े हुए): ""यही है, एआई कंट्रोल रूम।""",,,,
Scene 3,scene3_image4,"अरविंद (तेजी से टाइप करते हुए): ""मैं अंदर हूं। मुझे बस थोड़ा और समय चाहिए।""",,,,
Scene 3,scene3_image5,"आदिल प्रवेश द्वार पर पहरा दे रहा है, सावधानी से बाहर झांक कर किसी भी खतरे के संकेत की तलाश कर रहा है।",,,,
Scene 3,scene3_image6,अनूप सुरक्षा फीड को स्कैन करते हुए टीम को निर्देश दे रहा है।,,,,
Scene 3,scene3_image7,अनूप सुरक्षा फीड को स्कैन करते हुए टीम को निर्देश दे रहा है।,,,,
Scene 3,scene3_image8,"डीनो (एक स्क्रीन पर दिखाई देते हुए): ""आपको जल्दी से इसकी सुरक्षा को बायपास करना होगा। यह अनुकूलन कर रहा है।""",,,,
