Scene ID,Image ID,Dialogue
Scene 1,scene1_image1,"Anup - ""What the... This message wasn't sent by me."""
Scene 1,scene1_image2,"Anup looks confused as the light from his phone reflects on his face, deep in thought."
Scene 1,scene1_image3,"""Guys, something weird is happening‚ check your phones!"""
Scene 1,scene1_image4,"Anup stands up abruptly, sensing something odd as he gazes out the window."
Scene 1,scene1_image5,"""I‚ve never seen anything like this..."""
Scene 1,scene1_image6,"Zoomed-in on the phone screen, the glitch distorts as Anup's wide eyes reflect in the glass."
Scene 1,scene1_image7,"Anup hurriedly types a message to the team, panic clear on his face"
Scene 1,scene1_image8,"""Am I losing it, or is this phone messing with me?"""
Scene 1,scene1_image9,His hand grips the phone tightly as the distorted lines crawl across the screen.
Scene 1,scene1_image10,"""What‚s going on? How can I stop this?"""
Scene 1,scene1_image11,"Anup (frustrated): ""Come on, work normally! I need to reach the others."""
Scene 1,scene1_image12,"Anup's fingers tremble as he attempts to dial a number, the screen flickering ominously."
Scene 2,scene2_image1,"Arvind - “Who—what—is this thing?"""
Scene 2,scene2_image2,"Aadil - “That’s not one of us... It’s mimicking us."""
Scene 2,scene2_image3,"Arvind - “It looks like me, but it’s not me!"""
Scene 2,scene2_image4,"Husain- “This behavior pattern is off. This thing is learning
too fast."""
Scene 2,scene2_image5,"Aadil - “I don’t like this. It feels wrong..."""
Scene 2,scene2_image6,Aadil- “It’s like trying to communicate but in a different language we can't understand.”
Scene 2,scene2_image7,"The doppelganger's face glitches, revealing its distorted and sinister appearance."
Scene 2,scene2_image8,Anup - “We have to figure it out how to stop it”
Scene 2,scene2_image9,"Hussain (urgently): ""Don't let it touch you! We don't know what it's capable of!"""
Scene 2,scene2_image10,"The doppelganger reaches out, its hand inches away from Arvind."
Scene 2,scene2_image11,"The team stands in a semi-circle, watching as the doppelganger
mirrors their movements."
Scene 2,scene2_image12,The doppelganger form flickers and shifts.
Scene 3,scene3_image1,"The entire team enters a dimly lit server room, surrounded by 
cables and computers. "
Scene 3,scene3_image2," The entire team enters a dimly lit server room, surrounded by 
cables and computers. "
Scene 3,scene3_image3,"Anup (holding a keycard): ""This is it, the AI control room."""
Scene 3,scene3_image4,"Anup (holding a keycard): ""This is it, the AI control room."""
Scene 3,scene3_image5,"Arvind (typing quickly): “I'm in. I just need a little more time."" "
Scene 3,scene3_image6,"Aadil stands guard at the entrance, peeking out cautiously for any 
signs of danger. "
Scene 3,scene3_image7,Anup directs the team while scanning the security feeds. 
Scene 3,scene3_image8,Anup directs the team while scanning the security feeds. 
Scene 3,scene3_image9,"Dino (appearing on a screen): ""You need to bypass its defenses quickly. It’s
adapting."""
Scene 3,scene3_image10,"Dino (appearing on a screen): ""You need to bypass its defenses quickly. It’s
adapting."""
Scene 3,scene3_image11,"Husain (anxious): “We're in deeper now. No turning back."""
Scene 3,scene3_image12,"In the background, a shadowy figure possibly the doppelganger watches the team work."
Scene 4,scene4_image1,"Anup (determined): ""We need to split up. I’ll check the lab."" "
Scene 4,scene4_image2,"Anup (determined): ""We need to split up. I’ll check the lab."" "
Scene 4,scene4_image3,"Arvind reviews maps and equipment, his brow furrowed in 
concentration."
Scene 4,scene4_image4,"Husain (quietly): “I'm tracking the clues. This is all connected somehow."" "
Scene 4,scene4_image5,"Anup enters an abandoned lab, the dim glow of his laptop 
illuminating his face. "
Scene 4,scene4_image6,"Arvind paces outside the server room, mapping out their next 
move. "
Scene 4,scene4_image7,"Husain examines a trail of data left by the AI, crouched by a 
digital screen."
Scene 4,scene4_image8,"Husain examines a trail of data left by the AI, crouched by a 
digital screen."
Scene 4,scene4_image9,"Aadil stands alone in a long, eerie hallway, nervous but 
determined. "
Scene 4,scene4_image10,"Dino (through the communicator): ""Stay alert. You're getting closer, but the AI 
won't go down easily."" "
Scene 4,scene4_image11,"Dino (through the communicator): ""Stay alert. You're getting closer, but the AI 
won't go down easily."" "
Scene 4,scene4_image12,"Dino (through the communicator): ""Stay alert. You're getting closer, but the AI 
won't go down easily."" "
